"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-3.17561166847623,0.137,0.688,0,"ANXA2"
0,-1.79889412219177,0.305,0.704,0,"GFI1B"
0,-2.15601247234812,0.217,0.613,0,"GLIPR1"
0,-3.13070764324199,0.079,0.414,0,"C1QTNF4"
0,-3.35558998152999,0.061,0.394,0,"PROCR"
0,-1.76238375971547,0.476,0.807,0,"TPSB2"
0,-1.66239388940373,0.298,0.614,0,"HLA-DQA1"
0,1.15095186785937,0.739,0.432,0,"RNASEK"
0,1.43613159765062,0.787,0.498,0,"FO538757.2"
0,-1.30344144193129,0.478,0.758,0,"GRN"
0,-1.38069765653941,0.469,0.729,0,"HLA-DQB1"
0,-1.77378503513779,0.729,0.979,0,"VIM"
0,-1.07808680241355,0.513,0.76,0,"CCDC109B"
0,-1.17221730821081,0.704,0.945,0,"EEF1G"
0,1.31184616688594,0.851,0.622,0,"IFITM1"
0,-1.10138670920957,0.526,0.752,0,"ICAM3"
0,2.06012978958304,0.98,0.779,0,"AC090498.1"
0,-1.20358954918775,0.714,0.906,0,"TKT"
0,-0.865073744719226,0.745,0.91,0,"GABARAP"
0,-0.935028059968568,0.693,0.857,0,"NPC2"
0,1.01944566968952,0.977,0.828,0,"NME2"
0,0.750370780107665,0.914,0.779,0,"UBE2M"
0,-0.865075317305773,0.765,0.894,0,"HLA-DMA"
0,0.9004498715206,0.955,0.831,0,"TOMM5"
0,-0.778075571880554,0.799,0.909,0,"C12orf75"
0,-1.03695549935315,0.906,0.984,0,"CD44"
0,-0.930417105303337,0.881,0.954,0,"LGALS1"
0,-0.800854633274354,0.893,0.958,0,"HLA-DPA1"
0,-0.689540201772237,0.899,0.963,0,"AKR1A1"
0,-0.713298763484709,0.907,0.97,0,"LITAF"
0,-1.00229025779118,0.941,0.978,0,"HLA-DPB1"
0,-0.579549790987855,0.959,0.983,0,"EIF3L"
0,-0.682046154128062,0.974,0.994,0,"SNHG25"
0,-0.878796607758491,0.972,0.991,0,"HLA-DRA"
0,-0.764204370891524,0.982,0.995,0,"CD74"
0,-0.953955598240379,0.986,0.998,0,"PRDX1"
0,-0.66872132031952,0.997,0.999,0,"TMSB10"
0,-0.557940521747795,0.995,0.997,0,"EEF2"
0,-0.512471921837598,0.999,1,0,"HNRNPA1"
0,0.978680043272141,1,0.999,0,"MIF"
0,0.268469231802691,1,1,0,"RPL37"
0,-0.284542583904615,1,1,0,"RPS10"
0,-0.503370591809605,1,1,0,"RPL36A"
0,-0.560045190152172,1,1,0,"B2M"
0,0.259821855974335,1,1,0,"RPL38"
0,-0.259714528498726,1,1,0,"RPS21"
0,0.305361847379942,1,1,0,"RPL36"
0,0.656166257739425,1,1,0,"FTL"
5.59802102775139e-307,0.606194360212692,0.966,0.913,1.07426023522549e-302,"KRTCAP2"
8.79103751026294e-298,-5.44237093037255,0.006,0.177,1.68700009821946e-293,"GLYATL2"
5.79818111961898e-290,-0.615027452228287,0.892,0.972,1.11267095685488e-285,"S100A11"
3.91136782198486e-287,-0.506574925822005,0.99,0.996,7.50591485038895e-283,"HLA-B"
1.46339060413781e-276,1.59938820715949,0.471,0.179,2.80824656934045e-272,"C11orf98"
1.60483513833642e-275,-0.510488959783196,0.972,0.992,3.07967863046759e-271,"PKM"
1.90097346033207e-270,-1.33174439256072,0.346,0.595,3.64796807037724e-266,"HLA-DQA2"
3.21982330296954e-266,-1.4306995621884,0.277,0.538,6.17884091839854e-262,"HLA-DMB"
9.07607766431036e-266,-1.5357042137882,0.214,0.471,1.74169930378116e-261,"CD53"
6.13093864036769e-263,-3.1477297940808,0.027,0.21,1.17652712508656e-258,"ALOX5"
7.07410479663942e-260,-0.270431796462067,1,1,1.3575207104751e-255,"EEF1A1"
1.0414777508196e-259,-0.440116541966683,0.926,0.974,1.99859580382282e-255,"DBI"
6.25880536673004e-259,0.500404262065642,0.984,0.948,1.2010647498755e-254,"PPP1R14B"
1.35549559154429e-257,-0.456023308299989,0.985,0.993,2.60119604017349e-253,"STMN1"
1.43006257525944e-257,-1.16743575461066,0.585,0.765,2.74429008192287e-253,"NFKBIA"
3.86245585510502e-257,-2.04127021763839,0.107,0.338,7.41205278594654e-253,"TMEM243"
1.45432282279154e-252,-0.641620213840049,0.982,0.994,2.79084549693696e-248,"METTL9"
4.64823672624529e-247,-3.62812251313043,0.012,0.168,8.9199662776647e-243,"CKAP4"
6.55927087030898e-246,-0.538860509679592,0.914,0.966,1.25872408001229e-241,"SPINT2"
8.58725034274528e-242,-4.087630263693,0.009,0.159,1.64789334077282e-237,"LY96"
1.27036550318652e-241,-1.44870750395839,0.217,0.465,2.43783140061494e-237,"RP11-108M9.4"
3.24039356803235e-239,-2.50166886025484,0.059,0.256,6.21831525705408e-235,"JAML"
1.09829692093724e-236,1.75533561220624,0.382,0.13,2.10763179127857e-232,"PAM16"
1.20046465452854e-236,0.452562617926966,0.986,0.961,2.30369167204028e-232,"TRMT112"
1.13769068918835e-235,-2.57656422255922,0.025,0.19,2.18322843255244e-231,"ACP5"
5.1324830076211e-232,-0.487305592952625,0.974,0.983,9.8492348916249e-228,"EIF3E"
1.24728641789896e-225,-0.340923915028588,0.998,0.998,2.39354263594809e-221,"SLC25A6"
1.04927892902016e-224,-0.369575092927764,0.999,1,2.01356626478969e-220,"FTH1"
1.68270184346807e-222,-3.4214093943694,0.015,0.162,3.22910483761523e-218,"IL1RN"
3.18775613275377e-222,-1.23349431691355,0.275,0.519,6.11730401875448e-218,"SNX10"
7.12913441166586e-221,-1.41652921759349,0.244,0.473,1.36808089359868e-216,"GCNT1"
4.04486327459823e-219,-4.48842578034333,0.009,0.145,7.76209262395399e-215,"CLEC4A"
2.18416153561546e-215,1.04049095382464,0.704,0.497,4.19140598684607e-211,"FKBP11"
4.486451316451e-214,0.589644775600827,0.932,0.856,8.60950007626946e-210,"CCND2"
4.47820826255611e-213,-0.527923246394577,0.937,0.974,8.59368165584518e-209,"CD164"
6.80713952214046e-212,0.570059222519229,0.931,0.851,1.30629007429875e-207,"NPM3"
5.40002134582894e-211,-0.595691560338868,0.809,0.907,1.03626409626457e-206,"RAP1B"
4.19595710333286e-210,0.42717782650238,0.99,0.975,8.05204168129576e-206,"SLIRP"
2.85602002765461e-209,-2.62451704749532,0.045,0.215,5.4807024330692e-205,"CALHM2"
1.94789795908304e-207,-0.423913566593803,0.962,0.989,3.73801618348035e-203,"CD99"
1.22173874133414e-205,-0.782395030251662,0.677,0.825,2.34451664462022e-201,"SOX4"
1.36058195869863e-205,-0.389938192036611,0.979,0.991,2.61095677874267e-201,"SLC25A5"
4.82125535775192e-197,0.437159756080677,0.992,0.979,9.25198903152593e-193,"ZFAS1"
1.16264106307926e-195,0.436649504140257,0.982,0.968,2.2311082000491e-191,"TMEM147"
8.72666191150631e-195,0.337218984730165,0.995,0.988,1.67464642081806e-190,"JTB"
1.12785726825783e-193,-0.259033266591663,0.999,1,2.16435809778678e-189,"COX6B1"
1.9226376861267e-193,-0.483209026376858,0.918,0.963,3.68954171967714e-189,"RBMX"
1.47513134424486e-188,-0.929913872949517,0.409,0.625,2.83077704960588e-184,"GFI1"
7.81160388647039e-188,-0.870888976066617,0.567,0.725,1.49904678581367e-183,"SMYD3"
2.4963127508397e-187,-0.715116161881567,0.642,0.789,4.79042416886139e-183,"ANKRD28"
1.68745748192423e-185,-1.16105466354811,0.275,0.493,3.2382309078126e-181,"STAB1"
1.07915487579172e-183,0.56739819261724,0.933,0.858,2.07089820664431e-179,"RNASEH2C"
3.59632044649272e-180,0.56508003676648,0.903,0.805,6.90133893681953e-176,"ZNF593"
5.12023966247468e-180,-3.0631741494874,0.023,0.157,9.82573991228892e-176,"ABI3"
1.03260554997153e-177,0.374838933415844,0.987,0.971,1.98157005039537e-173,"NDUFB9"
2.79725475436012e-177,0.406342486419761,0.987,0.968,5.36793187361707e-173,"ATP6V0B"
1.10482709674714e-176,-3.12788724709284,0.023,0.154,2.12016319865777e-172,"SH3BP5"
1.79644404338789e-176,-4.70736356795841,0.005,0.114,3.44737611926136e-172,"WFDC1"
1.22304949412333e-174,-1.27662107595265,0.441,0.628,2.34703197922267e-170,"LTB"
1.66909763473792e-174,-2.4168928001508,0.043,0.193,3.20299836106206e-170,"KCTD12"
1.36351326678585e-171,-1.41357245457244,0.181,0.379,2.61658195896205e-167,"C19orf38"
1.56634908525923e-171,-0.676547837890653,0.907,0.942,3.00582389461246e-167,"LMO4"
5.7802113831163e-171,-1.8106208483075,0.116,0.296,1.10922256442002e-166,"CA8"
3.11614562199082e-170,0.463017133346941,0.952,0.895,5.97988344860039e-166,"DCXR"
4.82017654476112e-169,0.303748161048552,0.998,0.995,9.24991878939658e-165,"ATP5I"
1.30851505831119e-168,0.296847581602935,0.997,0.995,2.51104039689918e-164,"PRELID1"
5.48962637986081e-167,-0.596705905855636,0.718,0.837,1.05345930229529e-162,"FDX1"
5.61145194329462e-167,-1.83935014395548,0.083,0.252,1.07683762791824e-162,"AIM1"
5.85659485936954e-167,-0.719595570114122,0.63,0.782,1.12388055351301e-162,"VAMP5"
1.71852328856745e-166,-1.6718841652849,0.11,0.29,3.29784619076093e-162,"GAS7"
1.17716175107689e-165,1.00749187169598,0.396,0.175,2.25897340031655e-161,"CST7"
4.1894423060218e-165,-0.331301572699036,0.983,0.991,8.03953978525584e-161,"COX7A2L"
4.01008595506397e-163,0.43297833055514,0.979,0.968,7.69535494776776e-159,"AIF1"
2.02371414617211e-160,-3.95671379329359,0.007,0.109,3.88350744650428e-156,"LRRC25"
7.29683803189409e-158,-0.858972285188395,0.497,0.66,1.40026321832048e-153,"LTA4H"
5.345624950442e-157,-0.488947243331511,0.884,0.946,1.02582542798982e-152,"HHEX"
2.87010934920408e-156,0.436658841764755,0.951,0.907,5.50773984112263e-152,"MSN"
2.54143827329503e-152,0.41214255907698,0.972,0.947,4.87702004645316e-148,"MAZ"
1.05674005228192e-151,-0.733491697725836,0.551,0.712,2.02788416032901e-147,"FAM117A"
2.46827482626536e-150,0.379329122005931,0.982,0.951,4.73661939160322e-146,"LAGE3"
