"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-3.12733101012297,0.137,0.636,0,"ANXA2"
0,-1.84535813330859,0.305,0.677,0,"GFI1B"
0,-3.48728887613459,0.061,0.383,0,"PROCR"
0,-1.94851893238693,0.217,0.526,0,"GLIPR1"
0,-1.50617414228788,0.346,0.591,0,"HLA-DQA2"
0,-1.68511501964164,0.729,0.963,0,"VIM"
0,-1.11246623341443,0.513,0.731,0,"CCDC109B"
0,-0.812115160406059,0.799,0.89,0,"C12orf75"
0,-1.15332355302946,0.906,0.983,0,"CD44"
0,-0.746478131721453,0.892,0.965,0,"S100A11"
0,-1.28367929896834,0.881,0.942,0,"LGALS1"
0,-0.792388310405851,0.941,0.968,0,"HLA-DPB1"
0,-0.795224838814601,0.972,0.984,0,"HLA-DRA"
0,-0.869720311484859,0.986,0.996,0,"PRDX1"
0,-0.619898360724312,0.982,0.992,0,"CD74"
0,-0.796173331142374,0.997,0.999,0,"TMSB10"
0,-0.546347471375292,0.999,1,0,"FTH1"
0,-0.74514805461,0.999,1,0,"RPL17"
0,-0.566266653179642,1,1,0,"B2M"
0,0.528584514154817,1,1,0,"FTL"
5.90151796227665e-306,0.31064364581724,1,0.999,1.13250129696089e-301,"YBX1"
3.62598086717193e-302,0.466002225613474,0.993,0.963,6.95825728410293e-298,"ATP5G1"
1.48607617516212e-294,0.616965861923108,0.952,0.849,2.8517801801361e-290,"DCXR"
1.33877097146925e-287,-0.853694075536371,0.907,0.934,2.56910149424949e-283,"LMO4"
6.96296752513551e-284,0.568253402270083,0.979,0.951,1.3361934680735e-279,"AIF1"
1.71988404500886e-282,-1.67066528671441,0.217,0.467,3.30045748237201e-278,"RP11-108M9.4"
3.62861341701148e-281,-0.835430164677066,0.714,0.831,6.96330914724502e-277,"TKT"
1.05761387893599e-279,0.647357083797844,0.931,0.807,2.02956103367816e-275,"NPM3"
1.31494160903047e-272,0.645649474765158,0.932,0.812,2.52337294772947e-268,"CCND2"
7.49985373860246e-272,0.394488891802556,0.995,0.986,1.43922193243781e-267,"GTF3A"
4.35647869709572e-271,0.490364069890771,0.984,0.938,8.36008261972668e-267,"PPP1R14B"
2.35464996967024e-266,0.927476996376007,0.787,0.569,4.5185732917972e-262,"GLUL"
1.02435570775756e-260,-1.22537687877594,0.469,0.67,1.96573860318677e-256,"HLA-DQB1"
4.46009359664656e-260,-1.45248829726789,0.298,0.532,8.55891961196475e-256,"HLA-DQA1"
4.25657898327169e-257,0.36283880981849,0.998,0.997,8.16837506889837e-253,"MT-ND1"
2.99614818497762e-256,0.383735560674847,0.995,0.98,5.74960836697205e-252,"JTB"
4.17627208638928e-256,-0.262661987053411,1,0.999,8.01426613378104e-252,"ATP5L"
3.22922535348386e-255,-0.576175669218487,0.937,0.967,6.19688345333553e-251,"CD164"
3.50221437676159e-254,-0.625472457744466,0.907,0.95,6.72074938900549e-250,"LITAF"
1.99866295655766e-248,0.549511729300355,0.951,0.865,3.83543421363415e-244,"MSN"
4.70145459605824e-248,-1.09489249108395,0.585,0.747,9.02209136983577e-244,"NFKBIA"
2.45803576556658e-246,0.802946559336904,0.898,0.763,4.71697063412227e-242,"IGFBP2"
7.13336052792973e-245,-2.10352428858013,0.107,0.321,1.36889188530971e-240,"TMEM243"
2.7245416972396e-243,0.480139249842552,0.992,0.967,5.22839551700279e-239,"EIF4EBP1"
9.31936141525213e-242,-0.422678814715461,0.926,0.96,1.78838545558688e-237,"DBI"
1.16099829576728e-238,-0.873602413756656,0.677,0.799,2.22795572957741e-234,"SOX4"
5.28650992925991e-238,-0.838828607625569,0.786,0.879,1.01448125542498e-233,"HLA-DRB1"
1.61482201791444e-236,-1.51635325435923,0.214,0.441,3.09884345237782e-232,"CD53"
5.26928430357629e-234,0.416901205871148,0.987,0.956,1.01117565785629e-229,"NDUFB9"
2.48549905571722e-232,0.255181278062119,1,0.998,4.76967268792134e-228,"UQCRH"
4.14604607818338e-230,0.45149372228252,0.987,0.96,7.95626242403391e-226,"ATP6V0B"
2.07527419855431e-224,-5.03227093985059,0.005,0.138,3.98245118702572e-220,"WFDC1"
5.36845932864066e-222,0.509698045489869,0.95,0.855,1.03020734516614e-217,"MRPS12"
8.13749200377158e-221,-2.5103542022664,0.059,0.239,1.56158471552377e-216,"JAML"
1.01075927463569e-220,-1.44105551448749,0.291,0.51,1.93964704802589e-216,"TM4SF1"
1.77317199569726e-219,-4.10111825762594,0.009,0.145,3.40271705974304e-215,"LY96"
3.5753371041342e-219,-0.519840192913914,0.899,0.938,6.86107190283352e-215,"AKR1A1"
1.33682375277589e-217,-3.10858615467184,0.027,0.182,2.56536478157693e-213,"ALOX5"
3.57514602177153e-215,0.441502029139023,0.982,0.952,6.86070521577956e-211,"TMEM147"
2.3576913685802e-213,0.371133231170274,0.997,0.985,4.52440973630541e-209,"ATP5G3"
1.03331867103899e-211,-2.04992282062231,0.116,0.311,1.98293852972383e-207,"CA8"
1.03942133578816e-209,0.417283557442949,0.987,0.966,1.99464954337747e-205,"STOML2"
7.80162074613301e-209,-1.18046817385215,0.315,0.527,1.49713102118292e-204,"S100A10"
3.11280617244418e-208,-5.07709947138188,0.006,0.13,5.97347504492038e-204,"GLYATL2"
1.35034836287261e-207,1.28957561597085,0.581,0.349,2.59131850835253e-203,"CTSG"
3.62944515403132e-206,0.396572788358223,0.991,0.975,6.96490525058611e-202,"ODC1"
1.43066075549146e-204,-3.43482221258535,0.015,0.15,2.74543798978811e-200,"IL1RN"
4.82546947768905e-204,0.411855911483235,0.987,0.964,9.26007592768529e-200,"SRM"
7.44355270224575e-204,0.418689595818454,0.984,0.945,1.42841776356096e-199,"NME1"
1.33953769150379e-202,-0.590947040293158,0.893,0.939,2.57057282999578e-198,"HLA-DPA1"
9.67991710271357e-202,0.376824460292186,0.996,0.987,1.85757609201073e-197,"HMGA1"
7.31918044420688e-201,0.932110495433351,0.704,0.489,1.4045507272433e-196,"FKBP11"
9.96794206162702e-197,-0.700753739336215,0.977,0.969,1.91284808162622e-192,"NME2"
2.17227814451459e-196,0.584223792071604,0.903,0.756,4.1686017593235e-192,"RAC3"
9.61195441277274e-196,0.370892303336593,0.989,0.964,1.84453405181109e-191,"PRR13"
1.39921476705335e-194,-0.568249174271664,0.884,0.935,2.68509313797538e-190,"HHEX"
4.49579623324105e-193,-2.66122114707672,0.045,0.201,8.62743297158958e-189,"CALHM2"
