"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-3.4864980890662,0.116,0.688,0,"ANXA2"
0,-1.9762081865974,0.275,0.704,0,"GFI1B"
0,-2.09005135320949,0.237,0.613,0,"GLIPR1"
0,-3.63801787787382,0.048,0.394,0,"PROCR"
0,-2.69896672801461,0.109,0.414,0,"C1QTNF4"
0,-1.88503190339858,0.17,0.465,0,"RP11-108M9.4"
0,-1.47903958102131,0.337,0.614,0,"HLA-DQA1"
0,-1.47988401403306,0.324,0.595,0,"HLA-DQA2"
0,-1.89644963448046,0.715,0.979,0,"VIM"
0,-1.15645512502677,0.499,0.76,0,"CCDC109B"
0,-1.21721049599363,0.5,0.758,0,"GRN"
0,-1.34519218067992,0.473,0.729,0,"HLA-DQB1"
0,-1.21266320482603,0.588,0.807,0,"TPSB2"
0,-0.999749158724128,0.678,0.877,0,"HLA-DRB1"
0,0.964180343058154,0.851,0.653,0,"GLUL"
0,-3.38520163040782,0.023,0.21,0,"ALOX5"
0,-5.47349848076348,0.005,0.177,0,"GLYATL2"
0,-0.900990634776704,0.771,0.906,0,"TKT"
0,-0.855367644435424,0.796,0.91,0,"GABARAP"
0,-1.5212162823669,0.844,0.954,0,"LGALS1"
0,-1.0117376964954,0.84,0.945,0,"EEF1G"
0,0.691619810936334,0.947,0.851,0,"NPM3"
0,-0.755247450115291,0.878,0.972,0,"S100A11"
0,0.705820948625097,0.948,0.856,0,"CCND2"
0,-1.0927111177648,0.906,0.984,0,"CD44"
0,0.642484412776384,0.966,0.895,0,"DCXR"
0,0.606384399003161,0.961,0.907,0,"MSN"
0,-0.678324749863006,0.918,0.97,0,"LITAF"
0,0.655570782693432,0.986,0.948,0,"PPP1R14B"
0,-0.79205598042726,0.946,0.978,0,"HLA-DPB1"
0,-0.805300830567438,0.968,0.991,0,"HLA-DRA"
0,-0.708897548344415,0.979,0.995,0,"CD74"
0,0.547441306030845,0.984,0.968,0,"TMEM147"
0,-0.643604509948813,0.98,0.994,0,"MT-ND3"
0,-0.897361619944382,0.986,0.998,0,"PRDX1"
0,0.480841444955184,0.995,0.986,0,"ATP5G1"
0,0.51831856735923,0.996,0.988,0,"JTB"
0,0.563822459885857,0.993,0.986,0,"EIF4EBP1"
0,-0.546475763178808,0.99,0.996,0,"HLA-B"
