"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-3.43821743071294,0.116,0.636,0,"ANXA2"
0,-2.97965117596663,0.261,0.78,0,"RNASEK"
0,-2.74492306374486,0.296,0.738,0,"CRIP1"
0,-2.02267219771422,0.275,0.677,0,"GFI1B"
0,-3.08134881606271,0.119,0.505,0,"C11orf98"
0,-2.48765346283694,0.428,0.77,0,"FO538757.2"
0,-3.76971677247841,0.048,0.383,0,"PROCR"
0,1.79295949385267,0.508,0.188,0,"RGL4"
0,1.48876967049675,0.667,0.349,0,"CTSG"
0,-1.96082282249805,0.515,0.827,0,"IFITM1"
0,-1.73662211454722,0.352,0.658,0,"RCSD1"
0,-2.1069896861546,0.17,0.467,0,"RP11-108M9.4"
0,-1.88255781324831,0.237,0.526,0,"GLIPR1"
0,1.16779489039666,0.734,0.445,0,"TESC"
0,-1.97048344676116,0.222,0.51,0,"TM4SF1"
0,1.27930094484742,0.851,0.569,0,"GLUL"
0,-1.65431376376022,0.324,0.591,0,"HLA-DQA2"
0,-3.06211585006048,0.056,0.307,0,"MRPS24"
0,-1.50770282603867,0.277,0.527,0,"S100A10"
0,-1.80777961898431,0.715,0.963,0,"VIM"
0,-2.72129196803255,0.724,0.969,0,"NME2"
0,-1.36562624416233,0.393,0.635,0,"COX16"
0,-1.51200620057743,0.346,0.583,0,"TRAPPC5"
0,-1.19083455602765,0.499,0.731,0,"CCDC109B"
0,-1.14480024597031,0.477,0.695,0,"LPXN"
0,0.986135018299052,0.898,0.697,0,"LSP1"
0,-1.47599231110594,0.678,0.879,0,"HLA-DRB1"
0,0.756764218276903,0.89,0.702,0,"RASGRP2"
0,0.900239973420134,0.932,0.756,0,"RAC3"
0,0.969276522884455,0.918,0.763,0,"IGFBP2"
0,-1.00980580581975,0.629,0.777,0,"CD47"
0,0.76891767221495,0.947,0.807,0,"NPM3"
0,0.761825647789427,0.948,0.812,0,"CCND2"
0,0.729118138394583,0.934,0.806,0,"TOMM40"
0,0.762354712755897,0.958,0.837,0,"CHCHD10"
0,0.79643314135255,0.966,0.849,0,"DCXR"
0,0.718329326839625,0.968,0.855,0,"MRPS12"
0,-1.14939252095035,0.819,0.919,0,"TOMM5"
0,-1.8744784760319,0.844,0.942,0,"LGALS1"
0,0.719237286538761,0.961,0.865,0,"MSN"
0,-2.11641886202973,0.83,0.918,0,"AC090498.1"
0,-0.886698129608457,0.878,0.965,0,"S100A11"
0,-0.768192926516897,0.803,0.89,0,"C12orf75"
0,0.667113529259924,0.954,0.872,0,"PRSS57"
0,-1.20907917144111,0.906,0.983,0,"CD44"
0,0.73906820374498,0.972,0.897,0,"P4HB"
0,0.632378304459328,0.974,0.902,0,"MRPL12"
0,0.543730767456136,0.979,0.922,0,"CNPY2"
0,0.554345294527847,0.979,0.924,0,"SNU13"
0,0.577309065233951,0.987,0.939,0,"SF3B5"
0,0.645530590518561,0.986,0.938,0,"PPP1R14B"
0,0.547705809185258,0.981,0.937,0,"TOMM22"
0,0.536545676662286,0.988,0.945,0,"NME1"
0,-1.02181226915343,0.893,0.934,0,"LMO4"
0,-0.669440654471905,0.927,0.967,0,"CD164"
0,0.518673484193893,0.988,0.954,0,"RBM3"
0,0.636520195821831,0.995,0.963,0,"ATP5G1"
0,0.552293831029611,0.984,0.952,0,"TMEM147"
0,0.648577218380222,0.984,0.953,0,"GYPC"
0,0.510948765021966,0.988,0.959,0,"NDUFB8"
0,-0.688316673619385,0.947,0.976,0,"NDUFB1"
0,0.528480463242472,0.988,0.96,0,"ATP6V0B"
0,0.562306666959494,0.991,0.964,0,"SRM"
0,0.462631522806091,0.991,0.964,0,"PRR13"
0,0.886482218155755,0.993,0.967,0,"EIF4EBP1"
0,0.59960849040504,0.991,0.966,0,"STOML2"
0,0.547047184424347,0.991,0.967,0,"PEBP1"
0,0.564835143303913,0.996,0.98,0,"JTB"
0,0.51573133202779,0.991,0.975,0,"ODC1"
0,-0.721729061623547,0.968,0.984,0,"HLA-DRA"
0,-0.703725490062072,0.963,0.978,0,"MRPL33"
0,0.561200440373379,0.998,0.983,0,"TIMM13"
0,-0.909710510522463,0.98,0.994,0,"MT-ND3"
0,-0.564591538177203,0.979,0.992,0,"CD74"
0,0.513240966300199,0.996,0.985,0,"ATP5G3"
0,0.42769517753111,0.996,0.985,0,"NHP2"
0,-0.813126333188862,0.986,0.996,0,"PRDX1"
0,0.590944554964131,0.995,0.986,0,"GTF3A"
0,0.44281488437188,0.998,0.991,0,"VAMP8"
0,-0.532213745135497,0.989,0.996,0,"HLA-A"
0,0.341404987964948,1,0.997,0,"CHCHD2"
0,0.42343259735543,0.998,0.995,0,"MTDH"
0,0.389019924269827,1,0.998,0,"UQCRH"
0,-0.906308591096998,0.997,0.999,0,"TMSB10"
0,-1.66005081508026,0.998,1,0,"RPL17"
0,0.423854825800722,1,0.999,0,"YBX1"
0,-0.355570073090822,1,0.999,0,"ATP5L"
0,-1.16926608237074,0.999,1,0,"MIF"
0,0.545215963590294,0.998,0.997,0,"MT-ND1"
0,-0.872297917256297,1,1,0,"RPS27"
0,-0.372375772045652,1,1,0,"RPL31"
0,-0.633910986338451,1,1,0,"RPL37A"
0,0.250826824455624,1,1,0,"RPL29"
0,-0.298864284444562,1,1,0,"RPL34"
0,-0.680989303951883,1,1,0,"RPL37"
0,-0.743614663332639,1,1,0,"RPL39"
0,0.335046288367833,1,1,0,"RPL8"
0,-0.609904574280414,1,1,0,"FTH1"
0,-0.268034628854474,1,1,0,"TPT1"
0,-0.639053078927796,1,1,0,"RPS29"
0,-0.601548134480821,1,1,0,"B2M"
0,-0.568887965674138,1,1,0,"RPL38"
0,-0.598684748997427,1,1,0,"ATP5E"
0,-0.430045011432198,1,1,0,"RPS21"
0,-0.253452667954696,1,1,0,"RPL36"
0,-0.626796648360409,1,1,0,"RPS28"
0,0.548991661826424,1,1,0,"FTL"
5.05820693606763e-306,-0.993618938820782,0.658,0.799,9.70669911031379e-302,"SOX4"
8.57616743253878e-306,-1.55646369045648,0.375,0.602,1.64576653030419e-301,"TPSAB1"
1.01109483879955e-303,-0.450406845947965,0.988,0.991,1.94029099565634e-299,"NAA38"
5.65581404719566e-303,0.385343383524643,0.997,0.987,1.08535071565685e-298,"EEF1D"
6.78477020705519e-303,0.475732560131902,0.991,0.956,1.30199740273389e-298,"NDUFB9"
9.36835396383414e-302,0.661131335131231,0.917,0.762,1.79778712565977e-297,"C20orf27"
4.58279257131009e-296,0.699009021321191,0.893,0.728,8.79437894434406e-292,"LRRC59"
4.49452069049235e-295,0.572501979119318,0.994,0.98,8.62498520505483e-291,"CALR"
