"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-1.83438456839396,0.432,0.78,0,"RNASEK"
0,-2.21750713354683,0.179,0.505,0,"C11orf98"
0,-1.71129048637405,0.464,0.738,0,"CRIP1"
0,-1.93405347259693,0.498,0.77,0,"FO538757.2"
0,1.11157315284584,0.945,0.722,0,"EEF1G"
0,-1.40680619191097,0.622,0.827,0,"IFITM1"
0,-1.72019940902574,0.828,0.969,0,"NME2"
0,-2.29758582691977,0.779,0.918,0,"AC090498.1"
0,-0.965087380515285,0.831,0.919,0,"TOMM5"
0,0.690490094069108,0.994,0.968,0,"SNHG25"
0,-0.814403289109836,0.999,1,0,"MIF"
0,-0.434246272932307,1,1,0,"RPS27"
0,-0.296458118154074,1,1,0,"RPL37A"
0,-0.351061244583402,1,1,0,"RPL37"
0,-0.325814986305674,1,1,0,"RPL39"
0,-0.361730755066742,1,1,0,"RPS29"
0,-0.303365323406537,1,1,0,"RPL38"
0,-0.6388946608147,1,1,0,"RPL17"
0,-0.311610585061684,1,1,0,"RPS28"
1.47687852909261e-246,0.822279289562789,0.825,0.589,2.83412989732872e-242,"PAGR1"
5.43130816729444e-220,0.648572117795674,0.907,0.772,1.0422680373038e-215,"RAP1B"
1.02746327851858e-210,-0.261035908076921,1,1,1.97170203147715e-206,"ATP5E"
9.6464734138447e-209,0.543379197286542,0.966,0.897,1.8511582481168e-204,"P4HB"
5.11755077946001e-190,-2.04699083746981,0.1,0.307,9.82057994578376e-186,"MRPS24"
2.9888582109357e-181,0.837741652093989,0.807,0.612,5.7356189067856e-177,"TPSB2"
6.80883577209244e-171,0.37897941779312,0.997,0.992,1.30661558466454e-166,"EEF2"
7.74713754488655e-166,1.07077040633494,0.463,0.225,1.48667569486373e-161,"CTC-524C5.2"
9.9294499596725e-151,0.394216904597492,0.98,0.954,1.90546144726115e-146,"RBM3"
2.20585565633986e-150,-0.858080461689795,0.51,0.665,4.23303700451619e-146,"CD81"
1.37063235884889e-143,0.494787909917299,0.91,0.801,2.63024349663102e-139,"GABARAP"
5.86299396138892e-140,-0.912740648240534,0.482,0.632,1.12510854119053e-135,"ETV6"
6.2035652442317e-135,-0.426867576180654,0.913,0.938,1.19046417036806e-130,"KRTCAP2"
1.61768330818252e-134,-1.61891594713673,0.13,0.305,3.10433426840225e-130,"PAM16"
8.75521946227272e-132,-0.354344439208613,0.968,0.976,1.68012661481013e-127,"NDUFB1"
5.08481126314492e-131,0.271262586189337,0.998,0.997,9.7577528139751e-127,"SLC25A6"
2.75485088199771e-129,0.324107536100947,0.983,0.965,5.2865588425536e-125,"EIF3L"
1.25490598741721e-127,0.27578787869577,1,0.999,2.40816458985363e-123,"HNRNPA1"
2.12473563982843e-127,0.400270765309169,0.963,0.906,4.07736769283076e-123,"RBMX"
2.30423958348345e-126,1.15299009914859,0.414,0.22,4.42183576070474e-122,"C1QTNF4"
7.41108503447571e-126,-1.14092229319286,0.459,0.602,1.42218721811589e-121,"TPSAB1"
1.38504882850178e-125,0.324322765274693,0.987,0.967,2.65790870189492e-121,"PEBP1"
1.0690210375195e-121,0.834056968096869,0.493,0.282,2.05145137099992e-117,"EIF5AL1"
1.2385171331611e-120,0.472559887510309,0.892,0.777,2.37671437853615e-116,"HNRNPM"
1.18871314472601e-119,-0.797780641669861,0.491,0.635,2.28114052472921e-115,"COX16"
6.31425130793212e-115,0.541489654846938,0.828,0.697,1.21170482599217e-110,"LSP1"
1.2125105369442e-111,-1.29761685601913,0.18,0.346,2.32680772039592e-107,"PRICKLE4"
6.89527167630762e-111,0.299041164574094,0.986,0.962,1.32320263468343e-106,"EIF2S2"
2.144457719577e-109,-0.389099763105861,0.918,0.94,4.11521436386826e-105,"ROMO1"
2.66318879453725e-109,0.322659758269899,0.986,0.967,5.11065929671699e-105,"EIF4EBP1"
1.03977861537823e-108,0.486565171554707,0.809,0.656,1.99533516291083e-104,"NMT1"
8.38917712724379e-108,-2.10845503955634,0.045,0.168,1.60988309071808e-103,"RP11-437B10.1"
6.11133476266069e-106,0.339450713896994,0.969,0.937,1.17276514095459e-101,"TUFM"
9.32770134577611e-106,-1.5148109044412,0.126,0.276,1.78998588825444e-101,"ZNF749"
1.47285679381847e-105,-0.846021681351617,0.451,0.583,2.82641218733764e-101,"TRAPPC5"
1.82276543977867e-103,-0.749839944868091,0.536,0.658,3.49788687893526e-99,"RCSD1"
1.53145483468508e-99,0.722900260671163,0.528,0.349,2.93886182776068e-95,"CTSG"
4.68042979679387e-99,0.509068127777802,0.774,0.607,8.98174478004744e-95,"MTFP1"
9.6647082853673e-96,-0.923031680845269,0.317,0.467,1.85465751996198e-91,"CCDC18"
5.2842606028216e-95,-1.73486375392606,0.078,0.206,1.01404960968146e-90,"SEPHS2"
1.27090204321757e-92,0.265211767796594,0.989,0.967,2.43886102093451e-88,"TBCA"
3.07858302630023e-90,-1.6653496500307,0.086,0.211,5.90780082747015e-86,"TCF15"
5.90741362047239e-90,-0.776078495353778,0.43,0.562,1.13363267376865e-85,"NT5DC2"
4.70064431512072e-89,0.536400892795734,0.648,0.474,9.02053644071665e-85,"SMARCA4"
3.35733392442473e-87,0.663506450097981,0.541,0.365,6.44272380097106e-83,"HAUS4"
1.29297956392038e-86,0.453722687056481,0.808,0.678,2.48122778316321e-82,"PABPC4"
8.66371941913482e-82,0.296082133911773,0.966,0.923,1.66256775653197e-77,"SPINT2"
3.77865704859509e-81,-0.266106000573651,0.994,0.994,7.25124287625398e-77,"MT-ND3"
7.31422152521861e-81,0.599479649207853,0.568,0.397,1.40359911068945e-76,"NOL12"
2.87942817118123e-80,0.388521259043178,0.84,0.723,5.52562266049679e-76,"NDUFA7"
7.24947699573725e-80,0.473631714338997,0.752,0.617,1.39117463548198e-75,"ICAM3"
2.7510270341337e-79,0.314997352793047,0.936,0.863,5.27922087850257e-75,"COTL1"
3.56542180442352e-79,0.31728377480928,0.948,0.898,6.84204444268873e-75,"COPE"
1.9842868470906e-78,-0.638268095394799,0.532,0.634,3.80784645956686e-74,"MT-ND4L"
5.65295665558388e-78,-0.529615535662524,0.647,0.728,1.08480238220655e-73,"CBWD5"
6.67579945936429e-78,0.318116440627989,0.935,0.879,1.28108591625201e-73,"SLC39A3"
7.63179013916091e-78,0.929834737128473,0.266,0.129,1.46454052770498e-73,"TXNDC5"
4.57359450445718e-77,0.368159384510686,0.906,0.831,8.77672785405333e-73,"TKT"
4.45765995622538e-76,0.544402306159292,0.597,0.428,8.55424945599651e-72,"AP3D1"
7.9990510479542e-75,0.594376151639961,0.524,0.352,1.53501789610241e-70,"ATAD3A"
