"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.801775736364578,0.945,0.831,0,"0","MYC"
0,0.569330430084737,0.952,0.856,0,"0","PLAC8"
0,0.751964768403874,0.861,0.769,0,"0","NCOA4"
0,0.427173400458755,0.976,0.948,0,"0","TSPO"
0,0.372686308063619,0.996,0.981,0,"0","ZFAS1"
0,0.341426290983731,1,0.998,0,"0","NACA"
0,0.27659587060567,1,0.999,0,"0","BTF3"
0,0.272102177182211,1,1,0,"0","RPL5"
0,0.267495531192992,1,1,0,"0","RPS27A"
0,0.284112121486729,1,1,0,"0","RPL14"
0,0.269329483229623,1,1,0,"0","RPL34"
0,0.255167179038596,1,1,0,"0","RPL10A"
0,0.259909006122892,1,1,0,"0","RPS12"
0,0.260052277943717,1,1,0,"0","RPL7"
0,0.338374172512621,1,1,0,"0","RPL12"
0,0.257983963456702,1,1,0,"0","RPL27A"
0,0.251763416530077,1,1,0,"0","RPS25"
0,0.319743311769511,1,1,0,"0","RPS24"
0,0.278846946534186,1,1,0,"0","RPL21"
7.16954362598226e-285,0.374469116439299,0.994,0.988,1.375835421826e-280,"0","CALR"
1.97084588323786e-263,0.63565237319055,0.805,0.728,3.78205324993344e-259,"0","SNHG19"
2.6058408108684e-263,0.810076430931901,0.711,0.585,5.00060851605646e-259,"0","FAM46A"
3.70097205954254e-241,0.39526139796238,0.989,0.973,7.10216538226214e-237,"0","EIF3E"
7.50813837547842e-240,0.460763372150566,0.991,0.986,1.44081175425431e-235,"0","METTL9"
4.68896987450111e-234,0.529518207950937,0.899,0.844,8.99813318916764e-230,"0","IGFBP2"
2.15486146208005e-227,0.367657027539324,0.987,0.978,4.13517914573161e-223,"0","SNHG25"
5.03576767975504e-223,0.967619623854085,0.539,0.408,9.66363817744991e-219,"0","SNHG21"
2.33355868644475e-218,0.374921086058882,0.963,0.946,4.47809911928748e-214,"0","PPA1"
2.56987047848383e-213,0.661505410123447,0.816,0.772,4.93158144821047e-209,"0","RP5-1171I10.5"
4.28442624835588e-197,0.748606104249127,0.638,0.547,8.22181397059492e-193,"0","SNHG10"
3.6351169946295e-196,0.344783162055947,0.97,0.961,6.97578951269401e-192,"0","OSTC"
2.39469898513238e-182,0.365523300832281,0.98,0.972,4.59542735246903e-178,"0","GYPC"
3.7877078008408e-166,0.34811531176836,0.953,0.917,7.2686112698135e-162,"0","PRSS57"
1.1877270919136e-164,0.389851402466057,0.909,0.89,2.2792482893822e-160,"0","CCND2"
2.8020924665442e-155,0.891124216143315,0.406,0.264,5.37721544329832e-151,"0","BZRAP1"
2.16711509102378e-153,0.302625511016638,0.978,0.974,4.15869385967463e-149,"0","PPIB"
8.47970744146143e-146,0.398691967439624,0.859,0.819,1.62725585801645e-141,"0","APLP2"
4.56630540496312e-143,0.315991068684919,0.956,0.933,8.76274007212422e-139,"0","HSPB1"
2.9777574750681e-142,0.332305157558411,0.948,0.915,5.71431659465569e-138,"0","PTMS"
1.69756490270091e-138,0.432797461030956,0.774,0.7,3.25762704828304e-134,"0","CAT"
8.00790516792276e-138,1.14596929205779,0.313,0.198,1.53671700172438e-133,"0","TMEM150A"
2.8938034538791e-135,0.281091428830771,0.973,0.962,5.55320882799399e-131,"0","SSR2"
1.61383481185487e-132,0.4481438573543,0.792,0.736,3.0969490039495e-128,"0","NOP16"
