"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.71703322088527e-111,1.24609161199962,0.269,0.171,7.13298675087883e-107,"0","CTA-29F11.1"
8.00790516792276e-138,1.14596929205779,0.313,0.198,1.53671700172438e-133,"0","TMEM150A"
5.03576767975504e-223,0.967619623854085,0.539,0.408,9.66363817744991e-219,"0","SNHG21"
2.8020924665442e-155,0.891124216143315,0.406,0.264,5.37721544329832e-151,"0","BZRAP1"
1.69232114432838e-63,0.822341153793821,0.298,0.227,3.24756427596615e-59,"0","CTB-31O20.2"
2.6058408108684e-263,0.810076430931901,0.711,0.585,5.00060851605646e-259,"0","FAM46A"
0,0.801775736364578,0.945,0.831,0,"0","MYC"
7.65347239409507e-51,0.773347710847213,0.34,0.282,1.46870135242684e-46,"0","TSLP"
0,0.751964768403874,0.861,0.769,0,"0","NCOA4"
4.28442624835588e-197,0.748606104249127,0.638,0.547,8.22181397059492e-193,"0","SNHG10"
6.56693650503917e-201,1.22987339804266,0.324,0.164,1.26019511531702e-196,"1","FHL1"
0,1.21606681679441,0.825,0.536,0,"1","TK1"
0,1.18797975792567,0.789,0.522,0,"1","MDK"
4.67057665238151e-184,1.12935187371116,0.305,0.151,8.96283659592012e-180,"1","C1QTNF4"
0,1.1043661197938,0.658,0.391,0,"1","BIN1"
0,1.0843886640281,0.527,0.302,0,"1","TM4SF1"
0,1.0812536410099,0.535,0.308,0,"1","FAM213A"
4.01199997389299e-181,1.07740472536544,0.356,0.198,7.69902794990064e-177,"1","TPD52"
4.66825527430482e-194,1.0669714434449,0.374,0.207,8.95838187139096e-190,"1","SERPINE2"
1.96016016991055e-270,1.02346433873455,0.538,0.322,3.76154736605835e-266,"1","GLIPR1"
0,3.60849299905749,0.436,0.038,0,"2","PIF1"
0,2.56994052261901,0.891,0.223,0,"2","PLK1"
0,2.49037242666026,0.988,0.389,0,"2","CENPA"
0,2.31305818086425,0.538,0.115,0,"2","PSRC1"
0,2.16767124058671,0.999,0.656,0,"2","UBE2C"
0,2.15319541699151,0.841,0.272,0,"2","AURKA"
0,2.12609442660341,0.521,0.122,0,"2","FAM64A"
0,2.08123266891635,0.429,0.099,0,"2","FAM83D"
0,2.03924626084605,0.717,0.211,0,"2","CDCA3"
0,2.01504661410818,0.699,0.203,0,"2","CENPE"
0,2.38415592396503,0.373,0.079,0,"3","IL18R1"
0,2.09796615920824,0.631,0.331,0,"3","DDIT4"
0,2.05083737534024,0.903,0.439,0,"3","SOCS1"
0,2.04049321439692,0.469,0.169,0,"3","IGFBP4"
